Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC
BDBJPGFE_01153 hypothetical protein,26.17016,26.24394,26.96752,24.57209,25.06314,24.63208,24.7453,24.98652,25.12264,24.71183,25.1991,25.53958,25.18786,24.11603,24.78022
BDBJPGFE_01156 hypothetical protein,28.91473,28.93509,28.77684,26.96653,27.13731,26.98555,27.98501,28.02522,28.10809,28.11202,28.08187,28.37439,26.60642,27.86053,28.03999
BDBJPGFE_01157 Cbb3-type cytochrome c oxidase subunit CcoN1,27.57347,27.30069,27.45983,24.01186,24.57199,24.54305,26.98729,24.86766,23.84166,24.66082,24.37488,27.52223,24.21405,26.31886,25.12276
BDBJPGFE_01164 hypothetical protein,24.42984,22.89635,24.65848,23.9706,23.3104,25.85834,26.20658,24.19594,26.46561,26.286,26.67949,26.64513,25.05847,27.84948,26.87888
BDBJPGFE_01167 putative FAD-linked oxidoreductase,27.20154,26.95593,26.861,26.68779,24.70067,25.33734,24.22557,25.19689,24.78748,26.87009,24.32103,25.21068,24.96936,26.28063,23.48046
BDBJPGFE_01179 L-lactate permease,25.45779,25.29239,27.05703,26.63118,26.52474,26.37327,27.23087,27.26928,27.24808,27.93309,27.26195,27.31389,27.28577,27.41571,28.04479
BDBJPGFE_01180 Beta-etherase,26.94682,26.035,26.41762,26.41881,24.5195,25.04959,24.90648,27.04843,24.81154,25.26607,24.10343,24.91209,24.2413,24.35645,27.27115
BDBJPGFE_01182 hypothetical protein,28.57611,27.48239,26.97564,24.45122,23.30851,25.36503,25.18302,25.56296,23.98166,25.41981,25.8903,24.86889,26.03239,22.84252,25.78304
BDBJPGFE_01197 Peptidoglycan deacetylase,25.50267,25.54784,25.35118,25.93615,25.20245,26.50257,24.92921,23.9798,24.08843,24.38437,25.39908,25.30343,25.18941,24.70455,24.53579
BDBJPGFE_01206 Pyruvate kinase II,30.30563,30.17403,30.10961,28.77257,28.49652,27.8411,28.69156,28.52126,28.57629,28.6253,28.52809,28.8844,28.34363,28.92753,29.02118
BDBJPGFE_01211 Sporulation initiation inhibitor protein Soj,25.70828,25.73361,24.90035,25.62803,25.39225,25.27002,24.43854,24.40034,23.80424,24.81913,23.22586,24.11732,25.28812,24.50944,24.22478
BDBJPGFE_01215 Fructose dehydrogenase large subunit,24.3159,24.37113,23.83663,25.66181,25.40857,25.26936,25.41535,24.81039,25.25616,24.76106,24.74355,25.31665,25.3693,25.6581,24.81093
BDBJPGFE_01225 C4-dicarboxylate-binding periplasmic protein DctP,30.12559,29.9506,30.34678,30.65787,30.87928,30.61535,31.83778,32.21657,31.84262,31.71112,31.55412,31.41916,31.51935,31.43201,31.58786
BDBJPGFE_01229 hypothetical protein,32.705,32.82122,32.67272,31.91378,31.6686,32.05301,32.42865,32.37671,32.14422,32.54727,32.66233,32.36581,32.05711,32.70031,32.49047
BDBJPGFE_01230 C4-dicarboxylate TRAP transporter large permease protein DctM,26.40274,26.08823,26.53717,26.48433,25.96189,24.09014,26.86231,25.10881,26.6095,26.00288,26.82311,26.91843,25.678,23.64565,24.96526
BDBJPGFE_01231 Universal stress protein F,27.2469,27.13232,27.1038,24.42188,24.36392,25.30062,27.9908,25.76078,28.09607,28.5568,25.6298,28.37505,28.04239,28.43249,24.26473
BDBJPGFE_01238 Long-chain-aldehyde dehydrogenase,34.01339,34.03543,33.7211,33.56842,33.60477,33.41853,35.90053,35.80581,35.95001,35.9207,35.90484,35.98416,35.53884,36.12184,36.0904
BDBJPGFE_01239 Alcohol dehydrogenase,32.25853,32.42222,32.20676,31.59926,31.41518,31.10068,33.29447,33.22777,33.38998,33.24161,33.33831,33.30062,33.03202,33.55419,33.3933
BDBJPGFE_01245 hypothetical protein,26.05943,26.10649,26.42888,26.81323,25.47008,26.47562,26.28366,25.77218,22.6769,24.07808,26.81323,26.02139,25.73686,26.37647,26.43601
BDBJPGFE_01259 Haloacetate dehalogenase H-1,26.8675,27.10189,26.98729,23.59835,26.06425,24.18049,25.06308,24.48233,23.55415,26.13986,25.78222,25.9601,25.84358,24.7563,23.20524
BDBJPGFE_01262 Ribosomal protein S12 methylthiotransferase accessory factor YcaO,28.34663,28.03459,28.07015,27.86732,25.69849,26.52022,27.64334,27.6421,27.82881,27.89983,28.17398,27.57485,26.01202,27.98191,27.38706
BDBJPGFE_01271 Glyoxylate/hydroxypyruvate reductase A,28.20713,28.39088,28.66414,27.61926,27.81525,27.72573,28.14841,27.70589,28.46233,27.87408,28.11352,27.89145,27.33943,27.65369,27.53594
BDBJPGFE_01272 Ectoine hydrolase,26.50694,26.53985,26.41714,26.61246,26.6443,26.75162,24.81509,25.96735,26.27595,26.12963,26.10653,25.83911,25.57965,23.47362,23.98154
"BDBJPGFE_01273 N-alpha-acetyl-L-2,4-diaminobutyric acid deacetylase",28.00233,28.2272,28.57834,28.71457,27.71941,28.00977,27.97492,28.25129,28.63416,27.62094,27.62666,27.78457,27.5952,28.09275,27.56253
BDBJPGFE_01275 Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,28.45223,28.55892,27.7078,24.79677,25.42506,24.96198,26.9901,26.61877,24.35748,26.85899,24.35449,24.48695,25.31055,24.07847,25.36121
BDBJPGFE_01276 Putrescine--pyruvate aminotransferase,29.18766,29.85629,28.77263,24.53288,25.92458,25.38162,24.6062,24.83076,25.22492,23.97421,25.1622,23.82439,25.56037,24.93492,24.22
BDBJPGFE_01279 S-ribosylhomocysteine lyase,26.48593,26.75353,26.39867,25.02581,24.27203,25.35654,24.93273,25.27528,24.29945,23.75252,23.92568,24.16421,25.42432,24.16742,24.77115
BDBJPGFE_01283 hypothetical protein,23.85946,23.40574,23.14168,25.61536,25.99679,25.43228,24.7921,23.97994,24.7926,24.07599,24.15486,24.00419,25.25106,25.41777,24.48492
BDBJPGFE_01284 Alkyl hydroperoxide reductase C,32.04228,31.90749,31.91328,30.97719,30.86068,30.67649,30.96396,31.12516,30.94733,31.19448,31.28284,30.83741,30.8674,31.1983,31.35011
BDBJPGFE_01290 Homoisocitrate dehydrogenase,30.70273,30.86068,30.96478,29.29081,29.3145,28.6619,29.48869,29.52277,29.46941,29.288,29.23329,29.48149,28.9026,29.12829,29.71619
BDBJPGFE_01292 hypothetical protein,25.31897,25.54141,25.12526,25.19854,25.94013,25.78844,24.68713,25.28763,25.60643,23.92596,24.56285,25.87643,25.5604,24.4611,24.6491
BDBJPGFE_01297 hypothetical protein,25.17383,25.05217,25.26753,24.8478,26.05062,24.17803,24.85904,25.79342,25.55412,26.18399,25.81248,25.62109,24.82165,25.35459,26.13381
BDBJPGFE_01301 2-iminobutanoate/2-iminopropanoate deaminase,26.71973,26.67479,26.46385,24.25726,24.13209,25.63657,23.90297,25.89783,23.9755,24.94217,24.28953,25.35053,24.83629,23.35189,25.1215
BDBJPGFE_01302 HTH-type transcriptional regulator HexR,26.39903,26.19983,26.25012,26.25395,25.1448,25.21014,24.32072,25.10173,24.48437,24.64865,25.76213,25.39205,25.92812,24.76414,23.87901
BDBJPGFE_01303 Coniferyl aldehyde dehydrogenase,28.0135,27.96113,27.54311,25.09268,24.75025,25.6237,24.27805,24.69327,24.0434,24.66966,24.49238,24.02677,24.78503,23.4406,23.31724
BDBJPGFE_01312 Murein hydrolase activator NlpD,28.76822,29.51895,28.69139,26.74175,26.6487,28.02062,24.53745,28.04703,27.85424,27.88722,28.22963,24.7714,28.20466,26.9875,27.45333
BDBJPGFE_01313 RNA polymerase sigma factor RpoS,25.68442,26.44766,25.98917,24.40198,24.85428,24.63769,23.72188,23.6101,24.8038,25.11886,24.1473,24.47577,25.13137,25.13215,23.78388
BDBJPGFE_01314 Alanine racemase,26.45394,25.48401,25.96772,24.38016,24.84031,24.52519,22.99068,24.77617,23.91347,22.78252,23.64261,24.16189,25.49859,26.25024,24.63473
BDBJPGFE_01318 Alkanal monooxygenase alpha chain,24.2566,24.31817,24.10988,24.85611,24.3941,25.38613,24.66561,24.47521,24.48216,23.93374,25.29323,25.51709,25.07772,23.58533,24.9042
BDBJPGFE_01327 HTH-type transcriptional regulator YhaJ,26.08549,26.06231,25.95172,26.28012,24.91076,24.81696,25.13078,25.60299,24.51775,24.29766,24.8824,23.95283,24.42233,25.10874,24.79637
BDBJPGFE_01328 Glutathionyl-hydroquinone reductase YqjG,26.68752,26.63893,26.75494,26.4314,26.20736,24.93984,26.16536,26.55006,26.39499,26.4473,26.20555,26.17053,25.95354,26.29875,26.22858
BDBJPGFE_01334 Thiol peroxidase,27.99145,28.00924,28.0414,26.5942,24.99567,24.57338,26.91342,27.48008,26.81739,27.95715,27.53646,27.34181,25.89566,27.7239,27.542
BDBJPGFE_01341 Inosine-5-monophosphate dehydrogenase,27.62721,27.41086,27.79705,28.54171,28.52201,28.81958,28.5238,28.13966,28.64034,28.68395,28.62167,28.23877,27.84518,28.55837,28.40787
BDBJPGFE_01342 Serine-pyruvate aminotransferase,29.26607,29.48207,29.25552,27.52141,25.78588,27.76471,28.47208,28.58416,28.56311,28.91399,28.66851,28.84245,28.02522,28.96648,28.75006
BDBJPGFE_01347 Purine nucleoside phosphorylase DeoD-type,29.33057,29.08423,29.31719,28.84536,28.80769,28.87449,28.75926,28.53875,28.76145,28.94475,27.78269,28.77235,28.60654,28.90581,28.88212
BDBJPGFE_01348 Phosphopentomutase,29.28394,29.17586,28.90982,27.72533,27.91456,27.89781,28.33837,27.69398,27.65465,27.35842,27.85091,28.02417,26.21298,28.19957,27.99776
BDBJPGFE_01349 Thymidine phosphorylase,30.00812,30.28615,30.36818,28.69677,28.5136,27.95088,28.7977,28.40466,28.67465,28.53794,28.72182,28.84948,28.39423,29.10305,28.99378
BDBJPGFE_01350 Deoxyribose-phosphate aldolase,28.64454,28.22122,28.35111,27.4453,28.39157,27.93258,27.77894,28.08659,27.71365,28.11113,27.94257,27.49488,27.74599,27.66953,27.42342
BDBJPGFE_01352 hypothetical protein,26.63768,26.41086,26.43304,27.2748,27.42582,27.52051,27.56311,26.97935,27.54208,25.63654,27.61112,27.95909,26.71463,23.68693,25.98705
BDBJPGFE_01354 Cytochrome bo(3) ubiquinol oxidase subunit 2,28.91382,29.2464,28.78659,27.81641,27.28718,27.25647,26.59491,26.95294,27.23681,27.38772,27.8546,27.88908,26.68859,23.78053,27.08922
BDBJPGFE_01355 Cytochrome bo(3) ubiquinol oxidase subunit 1,29.92649,30.39008,30.11409,30.1517,30.64126,30.54986,30.19999,30.3091,30.18175,29.76338,29.95906,30.19319,30.34752,29.63192,29.8696
BDBJPGFE_01359 Phosphate acetyltransferase,28.02433,28.1062,26.79996,24.90145,23.7055,25.32895,24.61493,26.24258,24.81807,23.85339,24.27718,25.85785,25.36116,25.97128,25.43014
BDBJPGFE_01360 Acetate kinase,26.53874,26.65171,26.10653,24.78847,24.48798,24.55299,25.32985,24.49974,22.88381,24.88857,24.54949,23.66566,24.46547,24.45086,24.6705
BDBJPGFE_01362 hypothetical protein,26.82542,26.92897,27.11347,28.39991,28.40515,28.40949,28.16567,28.17365,28.25115,28.04677,28.21942,28.06173,27.9818,28.03617,27.72917
BDBJPGFE_01367 Alcohol dehydrogenase,30.17164,30.4611,30.93417,29.59912,29.15591,29.43173,27.66024,27.14131,27.15258,24.69209,23.97287,27.21743,25.01833,27.49213,25.73338
BDBJPGFE_01371 hypothetical protein,27.34333,27.3379,26.94369,24.88838,24.92624,26.61888,24.2989,24.34726,24.72032,24.56883,24.29204,24.1596,24.95798,24.53448,24.04037
BDBJPGFE_01372 Acetoacetyl-CoA reductase,28.11714,27.82645,27.85019,24.42453,25.80709,25.75817,24.30617,24.74335,24.54528,23.82484,24.16821,25.14569,25.7253,24.72934,24.03574
BDBJPGFE_01376 hypothetical protein,27.78132,28.00935,27.92993,26.78694,26.64031,25.92648,27.1047,27.0531,27.37011,25.31655,26.0431,24.65751,26.45344,25.80454,25.68242
BDBJPGFE_01377 Phosphomethylpyrimidine synthase,30.45591,29.90498,29.7044,24.52864,26.30282,23.98569,23.64119,25.29867,23.07449,23.76206,22.27765,23.22148,24.61937,22.7477,24.23454
BDBJPGFE_01378 Aminopyrimidine aminohydrolase,26.65322,26.3911,26.46507,24.4047,24.94552,25.11732,24.80449,25.4038,25.48004,25.45685,25.13888,25.091,25.42284,26.02807,24.97806
BDBJPGFE_01385 putative oxidoreductase/MSMEI_2347,24.41629,24.16783,24.3455,23.88322,26.04432,25.9904,24.54233,25.38115,24.92047,24.78071,24.60914,24.72313,24.108,25.34311,24.18646
BDBJPGFE_01409 Ketol-acid reductoisomerase (NADP(+)),32.10818,32.09254,31.93818,30.36807,30.45474,30.06008,31.47793,31.70512,31.53904,31.91396,31.82422,31.65493,31.74975,31.94534,31.90336
BDBJPGFE_01440 hypothetical protein,26.02346,25.97577,26.03896,24.9462,25.39991,25.73663,23.25755,24.05637,25.34825,24.99388,24.35549,25.58609,24.90713,24.54128,24.30231
BDBJPGFE_01446 Glucans biosynthesis protein G,23.66763,23.51749,23.63389,24.50573,24.42343,25.15592,24.68864,25.13297,25.00895,24.0192,24.93641,24.2887,23.99975,24.1745,24.73681
BDBJPGFE_01450 Lipid A biosynthesis lauroyltransferase,24.35394,24.27299,23.84738,23.63418,25.34432,24.01809,24.49887,23.94149,23.33688,24.32232,23.98352,23.88553,25.92537,23.76945,24.84466
BDBJPGFE_01451 hypothetical protein,27.02433,27.08537,26.87795,27.71699,28.1939,24.21161,28.50059,28.29421,28.0727,28.17222,27.63948,27.94693,28.2464,28.04041,27.98251
BDBJPGFE_01455 3-methylmercaptopropionyl-CoA dehydrogenase,27.72897,27.78188,27.38558,26.96113,25.56087,25.37022,27.38525,27.6704,27.43873,26.57658,27.478,27.00292,27.01956,27.39174,27.18527
BDBJPGFE_01456 Long-chain-fatty-acid--CoA ligase,29.2039,29.13619,28.59978,29.50537,29.21041,29.58391,29.61861,29.45981,29.60215,29.87109,29.4923,29.73478,29.70393,29.74938,29.5528
BDBJPGFE_01457 3-hydroxybutyryl-CoA dehydrogenase,29.11558,29.22575,29.10059,29.0524,28.55358,27.93377,29.12967,29.21748,29.17031,29.05318,29.24593,29.19091,29.19185,29.3522,29.30476
BDBJPGFE_01458 Short-chain-enoyl-CoA hydratase,29.03249,29.10906,29.00857,30.17558,29.77104,29.68986,29.21169,29.41736,29.58293,29.24232,29.13276,29.18475,29.02319,29.40983,29.19009
BDBJPGFE_01465 Disulfide-bond oxidoreductase YghU,26.43659,25.8405,25.537,24.27122,24.18511,25.15356,24.45033,25.94568,24.05768,25.52304,25.28452,23.72899,25.25436,24.2051,25.72512
BDBJPGFE_01466 Putative racemase YgeA,26.57773,26.84554,26.85733,24.75181,24.75436,24.54321,23.92199,25.09965,24.63648,24.78142,24.83122,24.15425,24.66018,25.88227,24.76214
BDBJPGFE_01467 Organic hydroperoxide resistance protein OhrB,26.78955,27.39991,27.48562,24.06068,24.97429,26.50784,27.13995,28.21739,27.15035,28.02353,27.75951,27.66553,25.09786,27.51886,27.15316
BDBJPGFE_01469 Solute-binding protein,26.32208,26.85899,26.1834,23.74509,24.78174,24.29996,26.52856,27.54363,27.23453,27.4008,27.60187,26.94559,27.05414,27.38435,27.90753
BDBJPGFE_01474 putative protein YcbX,25.64075,25.63489,25.62653,24.77302,25.19195,24.79612,24.57188,23.85667,23.97457,24.05851,23.81836,25.33101,25.81654,25.52004,25.43132
BDBJPGFE_01476 Peroxiredoxin OsmC,29.76148,29.42254,29.57503,29.07028,28.19929,28.23155,28.71001,28.44613,28.73247,29.47671,29.05538,28.9632,28.50355,28.96964,28.8546
BDBJPGFE_01481 NADH pyrophosphatase,25.79509,25.78761,25.66112,23.6935,25.47126,25.791,24.39761,24.54074,25.3545,26.80565,24.48896,25.05277,24.4106,23.41631,23.78982
BDBJPGFE_01484 Erythritol/L-threitol-binding protein,27.11247,23.26562,26.90656,30.57407,30.43926,30.24422,27.79197,28.44411,28.40819,27.45419,27.618,27.68063,28.86697,28.31627,28.27595
BDBJPGFE_01492 Xylulose kinase,26.68699,26.83557,26.75468,24.37265,24.81881,25.09669,24.25812,25.4028,24.98846,24.9441,24.93622,24.94006,26.02245,25.17367,23.92292
BDBJPGFE_01493 Transaldolase B,29.80492,29.53532,29.5677,28.49549,28.34083,28.15204,28.57315,28.9009,28.67818,28.85374,28.53653,28.58792,28.41687,28.63606,28.77609
BDBJPGFE_01500 Outer membrane protein TolC,29.16181,29.35338,29.23046,30.28472,30.54655,30.33565,30.30824,30.31225,30.2934,29.95726,29.84375,29.93227,31.01079,30.64727,30.77722
BDBJPGFE_01501 Multidrug resistance protein MexA,27.85923,28.03517,28.12696,28.3741,28.43257,28.72751,27.74606,28.27569,27.82177,28.28599,28.1248,28.13055,28.64846,28.78107,28.4705
BDBJPGFE_01502 Efflux pump membrane transporter BepE,26.24154,26.38164,26.35713,27.93027,28.54374,28.53007,27.73738,27.59442,27.61884,28.04234,27.7692,27.93005,28.94308,27.52343,27.94235
BDBJPGFE_01505 HTH-type transcriptional repressor BepR,25.07239,25.01631,25.04548,25.13222,25.17139,24.58461,25.50948,24.16388,24.40131,24.13032,25.05517,23.68098,25.94324,25.93668,25.50631
"BDBJPGFE_01506 N-alpha-acetyl-L-2,4-diaminobutyric acid deacetylase",26.12112,26.05434,26.07971,25.853,25.77681,26.19442,26.49607,26.1557,26.32903,25.07627,25.903,27.07296,27.43738,25.8306,25.84072
BDBJPGFE_01507 Catalase,29.64909,29.82633,29.47711,32.05688,31.77478,31.82008,31.80878,31.67514,31.83692,30.89779,31.2403,31.27231,31.34631,31.22843,31.32769
BDBJPGFE_01511 hypothetical protein,28.87537,28.59356,28.52055,29.84343,30.52934,30.79622,28.85228,29.34773,29.12748,29.57613,29.13824,29.26219,29.54696,29.3807,29.61896
BDBJPGFE_01512 Glutamate--tRNA ligase,29.44401,29.64033,29.46795,29.82696,30.03236,29.66696,29.5681,29.7265,29.26188,29.89908,29.38183,29.49345,29.6224,29.76395,29.69629
BDBJPGFE_01515 Citrate synthase,31.52272,31.41805,31.33383,30.81268,30.93431,30.78589,31.3772,31.62397,31.45978,31.73856,31.36087,31.35474,31.29044,31.51296,31.6058
BDBJPGFE_01517 Succinate dehydrogenase hydrophobic membrane anchor subunit,28.16619,27.16106,28.53174,24.27897,24.65821,27.12761,28.603,28.47286,28.63288,28.16567,28.7081,28.70586,28.66166,28.02068,27.76484
BDBJPGFE_01518 Succinate dehydrogenase flavoprotein subunit,32.41001,32.30408,32.17245,31.65096,31.27259,31.45283,31.75251,31.68462,31.72249,31.81623,31.85553,31.86312,31.5036,32.08952,31.84935
BDBJPGFE_01519 Succinate dehydrogenase iron-sulfur subunit,30.36066,30.54554,30.44865,30.65173,30.15436,30.22849,30.59067,30.72241,30.75143,30.55289,30.49343,30.35783,30.49257,30.57515,30.52589
BDBJPGFE_01520 2-oxoglutarate dehydrogenase E1 component,32.27125,32.25617,31.95213,31.82892,31.79788,31.64392,31.42046,31.43599,31.47484,31.57208,31.51348,31.45973,31.2917,31.67459,31.50299
BDBJPGFE_01521 Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,32.94587,33.08917,32.70316,32.66723,32.75978,32.81335,32.91438,32.92226,32.94287,32.37233,32.92622,32.97253,32.76969,32.67493,32.7912
BDBJPGFE_01522 Dihydrolipoyl dehydrogenase,32.69714,32.97313,32.7322,33.25138,33.10631,32.97307,32.71604,32.71531,32.61938,32.94961,32.77864,32.63737,32.35715,32.72112,32.6988
BDBJPGFE_01523 Succinate--CoA ligase [ADP-forming] subunit beta,33.24884,33.32884,33.23792,33.21503,32.86169,32.91044,32.49458,32.64794,32.4385,32.73471,32.69594,32.51658,32.21393,32.77982,32.59837
BDBJPGFE_01524 Succinate--CoA ligase [ADP-forming] subunit alpha,32.57676,32.56406,32.4466,32.39874,32.31316,32.20909,31.95999,32.06179,31.91887,32.23658,32.22837,32.14625,31.90989,31.9415,32.18246
BDBJPGFE_01528 Methyl-accepting chemotaxis protein I,25.66107,26.14014,25.80772,28.01175,27.55772,27.52783,26.46675,26.2767,26.43995,26.51294,26.07904,26.71947,26.18686,26.11478,26.54794
BDBJPGFE_01534 Exoribonuclease 2,29.43573,29.61567,27.63104,24.79096,23.97342,24.84829,23.48812,24.17221,24.76071,24.4489,23.48554,24.37174,24.7602,25.05695,24.63434
BDBJPGFE_01540 putative sugar-binding periplasmic protein,26.5086,27.33901,26.97684,30.14552,29.92479,29.31896,28.65038,28.72696,28.52559,28.88815,27.90162,27.55779,27.82784,27.64458,27.57874
BDBJPGFE_01548 Putative glucose-6-phosphate 1-epimerase,25.76838,25.506,25.40406,25.79206,25.74584,24.54426,24.34689,24.73202,25.5258,25.57652,24.59451,25.4325,25.66716,25.7661,25.36686
BDBJPGFE_01559 FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,28.59974,28.39141,28.85082,24.3909,24.51339,25.11884,22.98702,24.97048,25.13736,24.91644,24.37861,25.64505,25.3118,23.75774,24.97137
BDBJPGFE_01561 Outer membrane lipoprotein SlyB,31.24088,31.08961,31.43574,31.91592,32.25285,32.28151,31.30574,31.67329,31.18376,31.76489,31.57867,31.49853,31.77576,31.70821,31.92093
BDBJPGFE_01562 Isocitrate lyase,32.18848,32.14486,31.90724,28.99029,28.4243,27.43277,34.00328,33.69468,33.8481,33.75702,33.96189,33.87078,33.53392,34.12332,33.99412
BDBJPGFE_01564 50S ribosomal protein L16 3-hydroxylase,29.12974,29.56247,29.42252,29.26177,29.05814,29.41003,29.31717,29.1419,28.54141,29.28147,29.14754,29.20062,28.88771,29.26977,29.35506
BDBJPGFE_01565 Adenylosuccinate lyase,30.81391,30.57858,30.75414,29.81949,29.20135,28.93022,29.87697,29.5595,29.80028,30.08157,29.81577,29.85394,29.04877,29.90885,29.90541
BDBJPGFE_01567 tRNA-specific 2-thiouridylase MnmA,27.28207,27.29474,27.4186,25.03343,23.96093,24.53621,24.71163,25.17871,24.76677,24.41567,24.9236,24.10974,25.78646,23.84245,24.57816
BDBJPGFE_01570 Isocitrate dehydrogenase [NADP],33.9674,33.95818,33.67061,32.53143,32.314,31.96148,32.24127,32.2676,32.16426,32.35537,32.43778,32.40337,32.09921,32.4768,32.51131
BDBJPGFE_01572 ATP-dependent Clp protease ATP-binding subunit ClpA,31.47005,31.41458,31.16752,23.04778,25.33964,24.63009,23.60456,24.5521,22.56225,24.23936,24.18551,24.89586,25.53777,23.49514,24.64535
BDBJPGFE_01573 Translation initiation factor IF-1,28.09492,27.53919,27.90265,26.10729,25.14794,25.68511,23.93902,26.0258,26.22365,27.25512,26.66302,26.69166,26.11374,27.36219,26.50469
BDBJPGFE_01576 DNA translocase FtsK,27.21642,28.09053,27.67755,24.2677,24.61654,24.71272,25.23512,24.99975,24.64883,24.30523,24.14468,24.59262,25.37046,24.62939,24.80227
BDBJPGFE_01578 Replication-associated recombination protein A,24.60065,24.7678,24.72291,24.26432,24.75531,26.02115,24.8336,25.24927,23.99526,23.97474,24.09021,23.60735,24.92408,23.5136,23.85627
BDBJPGFE_01579 hypothetical protein,27.32937,26.18488,27.07153,23.0339,26.76737,25.55194,27.03023,26.94927,26.8832,24.62066,27.39558,26.7424,27.0238,27.34849,27.26293
BDBJPGFE_01581 tRNA/tmRNA (uracil-C(5))-methyltransferase,23.75888,23.22272,23.59457,25.16968,26.37439,25.31236,24.65819,24.4747,23.71921,24.67805,24.24537,24.52791,24.59881,25.33967,24.25256
BDBJPGFE_01582 NAD-specific glutamate dehydrogenase,30.95199,30.85185,30.78066,32.19528,32.16459,31.95491,30.9428,30.79436,30.97364,30.97808,30.9821,30.93586,30.65583,30.73618,30.92274
BDBJPGFE_01583 Dihydroorotate dehydrogenase (quinone),26.15455,26.77128,26.4437,26.39231,26.06419,27.25223,24.03778,25.42791,25.91366,25.85086,24.39735,26.30049,27.00378,26.11291,26.74137
BDBJPGFE_01584 Ribosome modulation factor,25.81032,24.45901,24.64218,24.02361,24.78441,24.96162,24.67287,24.43842,24.74742,25.27217,24.21267,24.51655,25.87355,24.75893,25.65053
BDBJPGFE_01585 Ribosomal RNA large subunit methyltransferase K/L,27.96653,27.39534,27.24636,27.67135,26.82214,24.39898,26.93708,27.7506,24.34963,27.07725,26.78319,24.80274,24.15967,26.61442,27.37675
BDBJPGFE_01589 Protease HtpX,26.88739,27.32071,26.5675,26.52258,26.07286,24.27308,26.96675,26.79017,26.49787,24.65384,26.35642,26.57429,25.70617,26.60045,26.12282
BDBJPGFE_01590 Glutamate-pyruvate aminotransferase AlaA,28.96477,28.97205,29.10222,26.48835,25.53243,23.80712,26.77568,25.08525,26.36641,27.10639,26.42504,26.263,25.81944,27.15817,27.10939
BDBJPGFE_01591 Ribosome biogenesis GTPase A,24.48087,23.92152,23.86032,25.33135,24.30662,25.4731,24.9942,25.09583,23.37183,24.25664,24.60976,24.96616,25.19698,25.13919,24.87109
BDBJPGFE_01592 Peptide methionine sulfoxide reductase MsrB,24.7318,24.59104,24.66736,23.97417,24.64724,24.97053,24.71569,25.05551,24.84061,24.87267,23.95755,24.78304,23.90778,25.44596,25.30072
BDBJPGFE_01605 NADPH-dependent 7-cyano-7-deazaguanine reductase,25.3047,25.84532,25.33501,24.78191,26.38167,26.02568,23.35541,26.2292,25.0624,24.05706,24.6733,23.83484,25.73784,25.87068,25.98642
BDBJPGFE_01606 Putative NAD(P)H nitroreductase YdjA,25.18367,25.25656,25.16312,24.70617,24.86249,25.74395,24.77407,25.94189,24.47536,24.41814,24.95501,24.81231,25.45292,24.93073,24.58211
BDBJPGFE_01639 Uronate isomerase,25.05105,25.17984,25.15124,24.84107,24.59002,25.99483,25.4341,25.11704,24.65825,23.62997,25.28115,25.54897,25.50063,24.96725,25.02019
BDBJPGFE_01640 D-galactonate dehydratase family member RspA,26.62003,26.99043,26.77216,26.42344,24.45167,26.08877,25.1359,25.08204,26.94503,26.44118,23.84296,24.41383,25.30404,26.37327,26.77769
BDBJPGFE_01642 Solute-binding protein,26.36706,26.3608,27.13428,27.29334,27.25997,27.78911,27.37973,27.70385,24.70255,27.34079,27.40235,27.46365,25.60366,27.53185,27.38821
BDBJPGFE_01645 Polyol:NADP oxidoreductase,29.28447,29.23339,29.27084,27.19094,27.26204,26.74663,27.04343,28.11575,28.21285,27.2571,27.40048,27.99475,27.64375,27.78363,28.06999
BDBJPGFE_01658 Glyoxylate/hydroxypyruvate reductase B,27.91553,28.20294,28.32804,25.68426,26.24551,27.30895,27.58864,27.39289,25.78676,25.66812,27.8715,27.44285,27.47599,27.63132,27.50484
BDBJPGFE_01659 2-dehydro-3-deoxygluconokinase,26.03624,26.31596,26.09987,24.88298,25.61406,24.91799,23.57324,25.25246,23.72711,25.11505,23.95255,24.46125,25.52562,23.77718,24.61208
BDBJPGFE_01661 Cyclic di-GMP phosphodiesterase,24.51828,24.00723,24.05647,25.31753,24.66563,24.6047,22.54333,22.95584,22.52461,25.17768,22.83796,22.68104,25.00412,22.46968,22.48446
BDBJPGFE_01666 Ureidoglycolate lyase,27.48669,27.32517,27.461,28.07699,27.64403,28.01882,28.55043,28.45525,28.70616,28.50892,28.63006,28.73463,26.9007,28.31553,28.48769
BDBJPGFE_01668 hypothetical protein,27.45278,27.60166,27.34858,29.01831,29.59701,28.67637,27.67512,27.56711,27.74887,27.74676,28.57499,28.15345,27.81427,27.31898,27.99016
BDBJPGFE_01669 Transcription elongation factor GreB,27.22665,28.70948,28.21016,24.45613,24.12055,25.5584,24.77709,25.93309,24.11129,24.23563,25.49601,24.32828,24.91766,24.7655,25.17125
BDBJPGFE_01674 Sulfate adenylyltransferase subunit 2,30.36713,30.1827,29.71849,25.31456,24.55125,24.29811,23.92515,23.12112,24.10805,25.20139,24.99912,23.18268,25.10689,24.14055,24.49253
