Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC,P_relabun,PhAc_relabun,DBP_relabun,DEHP_relabun,ATBC_relabun,P_mean,PhAc_mean,DBP_mean,DEHP_mean,ATBC_mean,P_sd,PhAc_sd,DBP_sd,DEHP_sd,ATBC_sd,P_PhAc_fc,P_DBP_fc,P_DEHP_fc,P_ATBC_fc,PhAc_DBP_fc,PhAc_DEHP_fc,PhAc_ATBC_fc,P_PhAc_ttest,P_DBP_ttest,P_DEHP_ttest,P_ATBC_ttest,P_PhAc_ttest_sig,P_DBP_ttest_sig,P_DEHP_ttest_sig,P_ATBC_ttest_sig,PhAc_DBP_ttest,PhAc_DEHP_ttest,PhAc_ATBC_ttest,PhAc_DBP_ttest_sig,PhAc_DEHP_ttest_sig,PhAc_ATBC_ttest_sig
JANJIKNC_00634 Phosphoribosyl isomerase A,22.75664,22.32584,22.06441,21.69855,19.55977,21.08382,22.1046,21.73318,22.91496,21.68804,22.75794,18.71494,21.74755,22.26708,21.63976,0.085818062,0.038210184,0.064346035,0.042611315,0.062588229,22.38229667,20.78071333,22.25091333,21.05364,21.88479667,0.285407439,0.899073675,0.493427932,1.710420956,0.273873549,-1.601583333,-0.131383333,-1.328656667,-0.4975,1.4702,0.272926667,1.104083333,0.074263082,0.760796249,0.339499161,0.149912681,,,,,0.112554574,0.8514218,0.171985542,,,
JANJIKNC_00644 Putative peroxiredoxin,21.56579,21.36645,21.62355,21.43777,21.22317,21.1553,22.73934,22.29872,22.66323,21.52774,21.87635,21.4314,21.78967,21.89881,21.39629,0.047160575,0.053714958,0.080112901,0.062741785,0.054870017,21.51859667,21.27208,22.56709667,21.61183,21.69492333,0.110137824,0.120392321,0.192297876,0.191134284,0.215815177,-0.246516667,1.0485,0.093233333,0.176326667,1.295016667,0.33975,0.422843333,0.099469228,0.002594691,0.582228711,0.36155684,,+,,,0.001279294,0.100541936,0.072779112,+,,
JANJIKNC_00647 Indole-3-glycerol phosphate synthase,22.63894,22.30791,22.73511,21.81652,20.11739,21.32119,22.83013,22.37518,23.49607,21.65648,22.51475,22.10252,23.02646,22.90839,22.76632,0.09711122,0.047183329,0.10093803,0.087473533,0.126536763,22.56065333,21.08503333,22.90046,22.09125,22.90039,0.182978253,0.713483552,0.460295796,0.350477872,0.10635226,-1.47562,0.339806667,-0.469403333,0.339736667,1.815426667,1.006216667,1.815356667,0.047192761,0.386896384,0.168445494,0.085711762,+,,,,0.039018954,0.147928244,0.023608399,+,,+
JANJIKNC_00649 Tryptophan synthase alpha chain,22.19877,21.83738,22.21617,22.48151,21.20878,22.33571,22.43545,22.36076,22.72837,22.4287,22.39074,22.63498,23.00383,22.61646,22.98108,0.069793434,0.089501418,0.076907871,0.114907673,0.123652373,22.08410667,22.00866667,22.50819333,22.48480667,22.86712333,0.174606655,0.568728652,0.158646299,0.107313444,0.177488912,-0.07544,0.424086667,0.4007,0.783016667,0.499526667,0.47614,0.858456667,0.866396358,0.06383025,0.050590982,0.011267567,,,,+,0.297585871,0.309318468,0.111230111,,,
JANJIKNC_00655 Pyruvate kinase,21.46334,18.92527,21.20735,19.95487,20.87182,19.51091,21.46558,21.98311,21.37103,19.84793,19.77755,19.65234,19.46437,21.22016,21.06737,0.023800161,0.024045671,0.041167655,0.017373277,0.0254041,20.53198667,20.11253333,21.60657333,19.75927333,20.58396667,1.140916753,0.566664099,0.269035093,0.080888357,0.794127915,-0.419453333,1.074586667,-0.772713333,0.05198,1.49404,-0.35326,0.471433333,0.665685243,0.264560681,0.393472893,0.960361341,,,,,0.028087779,0.432045538,0.531887034,+,,
JANJIKNC_00663 Putative ABC transporter arginine-binding protein 2,17.71173,19.34064,18.70636,19.78587,20.32637,19.08132,19.80033,19.73244,18.64692,20.12889,19.49664,20.04539,19.18881,19.56342,18.94537,0.006178069,0.018460358,0.008877147,0.019025089,0.00995593,18.58624333,19.73118667,19.39323,19.89030667,19.23253333,0.670401848,0.509758162,0.528448184,0.280443869,0.254204967,1.144943333,0.806986667,1.304063333,0.64629,-0.337956667,0.15912,-0.498653333,0.126892772,0.252215178,0.064129273,0.271402003,,,,,0.55059022,0.718617574,0.283409621,,,
JANJIKNC_00665 Glutamine transport ATP-binding protein GlnQ,20.38121,20.12755,20.75132,20.16925,20.11699,20.0675,18.78247,17.71784,17.5872,19.11553,19.47989,20.22739,21.24447,20.80617,20.81363,0.022023005,0.024135508,0.00344866,0.01563956,0.032849043,20.42002667,20.11791333,18.02917,19.60760333,20.95475667,0.256127967,0.041544394,0.535326922,0.462811111,0.2048809,-0.302113333,-2.390856667,-0.812423333,0.53473,-2.088743333,-0.51031,0.836843333,0.174985166,0.004689048,0.0955868,0.08242775,,+,,,0.005323065,0.195355879,0.004799312,+,,+
JANJIKNC_00672 hypothetical protein,20.0036,19.65417,20.16632,21.12868,21.46428,21.35692,20.48414,20.45212,19.80879,20.48758,20.51162,19.30216,20.20801,20.85293,20.8278,0.015804638,0.055399408,0.016057952,0.022008333,0.026220127,19.94136333,21.31662667,20.24835,20.10045333,20.62958,0.213665561,0.139939283,0.311090625,0.564563941,0.298271496,1.375263333,0.306986667,0.15909,0.688216667,-1.068276667,-1.216173333,-0.687046667,0.001596503,0.314090079,0.728269061,0.056821731,+,,,,0.011431719,0.041678905,0.042007212,+,+,+
JANJIKNC_00682 putative glycosyltransferase,22.80501,22.94648,23.03917,21.51249,20.63018,20.62203,20.48139,19.68724,19.81251,22.42703,22.13374,22.90733,23.24605,22.78169,22.95054,0.125464269,0.042128909,0.013459747,0.115271442,0.13490339,22.93022,20.92156667,19.99371333,22.48936667,22.99276,0.09628436,0.417859143,0.348611093,0.318877999,0.19191048,-2.008653333,-2.936506667,-0.440853333,0.06254,-0.927853333,1.5678,2.071193333,0.002693216,0.000328352,0.134565131,0.701510457,+,+,,,0.073452417,0.013497442,0.00311446,,+,+
"JANJIKNC_00686 8-demethyl-8-(2,3-dimethoxy-alpha-L-rhamnosyl)-tetracenomycin-C 4-O-methyltransferase",19.82968,19.22621,19.90985,19.21113,20.50743,19.97065,18.99477,19.28942,19.64621,19.70274,19.91786,19.5457,19.02991,18.71854,18.87845,0.012961488,0.020700236,0.008380285,0.016931345,0.007773995,19.65524667,19.89640333,19.31013333,19.7221,18.87563333,0.30513511,0.531810021,0.266352273,0.152549169,0.127131872,0.241156667,-0.345113333,0.066853333,-0.779613333,-0.58627,-0.174303333,-1.02077,0.607694954,0.294617366,0.795404288,0.028960386,,,,+,0.235773999,0.678975487,0.057574995,,,
JANJIKNC_00687 putative glycosyltransferase,20.03066,19.6173,19.98537,18.54108,21.02864,19.5598,19.49759,18.98826,18.11671,19.11729,19.60926,20.38785,21.28127,20.99224,21.21656,0.015123178,0.018189223,0.006166219,0.016729526,0.037959247,19.87777667,19.70984,18.86752,19.7048,21.16335667,0.185110537,1.021068946,0.570170153,0.523084822,0.123848109,-0.167936667,-1.010256667,-0.172976667,1.28558,-0.84232,-0.00504,1.453516667,0.830197409,0.075715612,0.68208819,0.001225988,,,,+,0.365992702,0.995340466,0.116312884,,,
JANJIKNC_00694 putative transcriptional regulatory protein pdtaR,22.5799,21.95195,22.55885,22.36786,20.04639,19.55291,21.62118,21.84892,21.64601,19.28526,21.94299,20.19567,21.61984,19.14352,19.245,0.084711117,0.035039055,0.044085613,0.028525191,0.016980528,22.36356667,20.65572,21.70537,20.47464,20.00278667,0.291183775,1.227313642,0.102010078,1.102799584,1.144179665,-1.707846667,-0.658196667,-1.888926667,-2.36078,1.04965,-0.18108,-0.652933333,0.128040112,0.039281465,0.079199258,0.047450667,,+,,+,0.294500668,0.884177125,0.611390587,,,
"JANJIKNC_00695 Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein",21.73053,21.92031,21.70641,19.87489,20.88589,22.01648,22.35251,22.6015,20.93236,19.38479,21.79769,21.49473,22.28076,21.70071,22.27949,0.056754495,0.042251343,0.052672913,0.038105517,0.072004215,21.78575,20.92575333,21.96212333,20.89240333,22.08698667,0.095656464,0.874754726,0.735213528,1.073194503,0.273139343,-0.859996667,0.176373333,-0.893346667,0.301236667,1.03637,-0.03335,1.161233333,0.239102614,0.753458652,0.306034725,0.214990249,,,,,0.268902485,0.974457547,0.147600581,,,
JANJIKNC_00701 hypothetical protein,20.56235,20.02621,20.95262,20.44546,20.63253,19.13238,20.92078,20.94999,21.22929,20.73303,19.7213,19.84901,20.33112,19.22771,18.29453,0.023500824,0.023349104,0.027669398,0.022018404,0.010320752,20.51372667,20.07012333,21.03335333,20.10111333,19.28445333,0.379764878,0.667468209,0.139060392,0.449864029,0.832401971,-0.443603333,0.519626667,-0.412613333,-1.229273333,0.96323,0.03099,-0.78567,0.459833104,0.143366165,0.377712172,0.130227384,,,,,0.1163867,0.959188872,0.356503728,,,
JANJIKNC_00706 hypothetical protein,20.20872,20.28263,19.82131,22.75992,21.91867,23.25854,20.01672,20.62578,18.60034,19.7718,19.11201,20.14174,20.56384,21.95699,21.91962,0.017693318,0.139187127,0.01134889,0.016389592,0.04728048,20.10422,22.64571,19.74761333,19.67518333,21.48015,0.202310361,0.552929078,0.84849498,0.425900656,0.648108603,2.54149,-0.356606667,-0.429036667,1.37593,-2.898096667,-2.970526667,-1.16556,0.003644071,0.59414492,0.267577002,0.045653277,+,,,+,0.015515276,0.003837623,0.125114916,+,+,
"JANJIKNC_00724 4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase",18.68473,18.03875,19.93149,19.64596,19.49903,20.32096,21.80385,22.10958,22.21045,18.62039,20.01772,19.88019,21.65744,20.46457,21.61135,0.007599491,0.019659508,0.055644198,0.014577028,0.04015412,18.88499,19.82198333,22.04129333,19.5061,21.24445333,0.785575894,0.357892341,0.172874119,0.628803243,0.551781709,0.936993333,3.156303333,0.62111,2.359463333,2.21931,-0.315883333,1.42247,0.19957531,0.005159209,0.431970047,0.025448231,,+,,+,0.001390979,0.570362592,0.037705524,+,,+
JANJIKNC_00746 Putative S-adenosyl-L-methionine-dependent methyltransferase,20.44364,21.37682,20.92723,20.07996,20.33269,21.04374,21.52243,21.07666,21.67124,19.45577,19.90943,21.91203,21.99597,21.37449,22.06986,0.0310562,0.031138668,0.036260059,0.027574599,0.059567883,20.91589667,20.48546333,21.42344333,20.42574333,21.81344,0.381053418,0.408021846,0.252626357,1.067157561,0.311846928,-0.430433333,0.507546667,-0.490153333,0.897543333,0.93798,-0.05972,1.327976667,0.336842696,0.191505973,0.57377737,0.06146623,,,,,0.05063424,0.944620923,0.021637374,,,+
JANJIKNC_00774 hypothetical protein,18.88242,19.7275,18.63173,19.2401,20.06154,19.87831,21.13896,20.71616,20.2214,20.01229,19.89218,19.559,19.62613,19.36573,21.08589,0.008702698,0.018402399,0.021842095,0.018134704,0.017254963,19.08055,19.72665,20.69217333,19.82115667,20.02591667,0.468771157,0.352080942,0.374976096,0.191748431,0.757015914,0.6461,1.611623333,0.740606667,0.945366667,0.965523333,0.094506667,0.299266667,0.194106649,0.019156855,0.107475347,0.207629328,,+,,,0.056705243,0.755595002,0.638873783,,,
JANJIKNC_00790 putative protein,20.00003,20.32113,19.97183,20.8768,21.41767,22.37457,22.23801,21.90194,20.41349,20.67418,20.01011,19.53367,20.14495,20.49424,21.1934,0.017613089,0.065413597,0.038711206,0.021588304,0.02588216,20.09766333,21.55634667,21.51781333,20.07265333,20.61086333,0.158433631,0.619274929,0.792835956,0.467706829,0.435899531,1.458683333,1.42015,-0.02501,0.5132,-0.038533333,-1.483693333,-0.945483333,0.032060691,0.06791452,0.946338355,0.19266988,+,,,,0.959398895,0.053883332,0.152214436,,,
JANJIKNC_00794 Catalase-peroxidase 2,18.59935,18.54503,20.1486,21.13571,20.39365,21.38153,20.66536,21.08492,20.25546,19.9015,18.78081,19.41808,19.77667,19.49953,19.31698,0.008806524,0.043576205,0.021487802,0.013235321,0.012244677,19.09766,20.97029667,20.66858,19.36679667,19.53106,0.743457611,0.419918962,0.338633282,0.458954612,0.188987354,1.872636667,1.57092,0.269136667,0.4334,-0.301716667,-1.6035,-1.439236667,0.03616478,0.053018911,0.685580514,0.46904103,+,,,,0.473214151,0.021860177,0.011510195,,+,+
JANJIKNC_00796 FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase,19.00282,18.7191,17.73444,20.17041,20.33029,20.49756,21.96328,22.06599,22.17194,19.5898,18.70458,20.20269,18.86258,19.57003,18.91566,0.005761187,0.028011072,0.056647329,0.0145057,0.009183937,18.48545333,20.33275333,22.06707,19.49902333,19.11609,0.543531679,0.133569786,0.085188511,0.614959996,0.321714692,1.8473,3.581616667,1.01357,0.630636667,1.734316667,-0.83373,-1.216663333,0.009535275,0.000773293,0.155652518,0.230791538,+,+,,,0.000101595,0.134266361,0.007819686,+,,+
JANJIKNC_00797 Magnesium-protoporphyrin O-methyltransferase,20.66405,20.42368,20.51326,19.73354,21.35001,18.84968,20.69804,20.0036,20.95879,19.17056,20.93654,21.11076,20.89482,21.87098,21.26471,0.023827837,0.021900855,0.019840035,0.02719893,0.043007791,20.53366333,19.97774333,20.55347667,20.40595333,21.34350333,0.099185537,1.035258093,0.403130171,0.876445727,0.4023915,-0.55592,0.019813333,-0.12771,0.80984,0.575733333,0.42821,1.36576,0.491754318,0.949427532,0.847754583,0.050668091,,,,,0.50426713,0.678375916,0.157029659,,,
JANJIKNC_00799 Epimerase family protein,19.91422,19.49123,19.66366,18.81246,20.02849,19.00152,18.89658,19.07859,17.35938,19.56151,19.64198,20.06553,19.13665,20.13583,20.0258,0.01327478,0.01351037,0.004600262,0.017337989,0.014411176,19.68970333,19.28082333,18.44485,19.75634,19.76609333,0.173664094,0.534284571,0.771131528,0.221084746,0.447344634,-0.40888,-1.244853333,0.066636667,0.07639,-0.835973333,0.475516667,0.48527,0.361517959,0.089888808,0.754312444,0.832914462,,,,,0.276103316,0.309473738,0.380455401,,,
JANJIKNC_00824 Thiol peroxidase,26.60498,25.85201,26.56779,25.57782,24.88916,25.37428,25.94438,25.94065,26.37804,24.99101,25.46058,23.79986,25.22637,25.75226,25.46201,1.334890862,0.864421997,0.919404566,0.55256792,0.756520896,26.34159333,25.28042,26.08769,24.75048333,25.48021333,0.34652047,0.288871856,0.205314101,0.698993342,0.215079201,-1.061173333,-0.253903333,-1.59111,-0.86138,0.80727,-0.529936667,0.199793333,0.029199434,0.423045767,0.044823518,0.040462787,+,,+,+,0.032239223,0.377829125,0.476580293,+,,
JANJIKNC_00838 hypothetical protein;JANJIKNC_06316 hypothetical protein,21.63551,21.1496,21.48817,21.07437,20.99783,20.18204,22.25742,22.39812,22.79624,21.42245,22.15573,18.88754,22.07424,21.85692,21.79875,0.044180548,0.037441993,0.075625071,0.036288269,0.063689904,21.42442667,20.75141333,22.48392667,20.82190667,21.90997,0.203428188,0.403818513,0.228186818,1.400179915,0.118559161,-0.673013333,1.0595,-0.60252,0.485543333,1.732513333,0.070493333,1.158556667,0.10307545,0.008035844,0.579490236,0.043403152,,+,,+,0.006160056,0.948741304,0.017644754,+,,+
JANJIKNC_00846 hypothetical protein,23.40145,24.36192,23.96261,21.5382,20.65101,20.59814,21.69528,20.91714,19.43245,20.99307,20.50154,21.65189,22.52042,21.75499,22.07042,0.247206479,0.042349958,0.021682953,0.042469582,0.07343009,23.90866,20.92911667,20.68162333,21.04883333,22.11527667,0.393961595,0.431227465,0.938687373,0.471280838,0.314091135,-2.979543333,-3.227036667,-2.859826667,-1.793383333,-0.247493333,0.119716667,1.18616,0.001957651,0.010964638,0.002755068,0.007314143,+,+,+,+,0.751780099,0.804078736,0.034701615,,,+
JANJIKNC_00851 hypothetical protein,22.18389,23.64471,22.39202,21.07568,20.36421,21.60991,21.0818,21.2558,20.24714,20.23234,19.66463,19.68678,20.77435,19.83777,18.8913,0.109981679,0.04499747,0.02456353,0.018645747,0.015110674,22.74020667,21.0166,20.86158,19.86125,19.83447333,0.645199832,0.510267876,0.440243406,0.262556022,0.768755478,-1.723606667,-1.878626667,-2.878956667,-2.905733333,-0.15502,-1.15535,-1.182126667,0.041420376,0.027242505,0.004272644,0.014920338,+,+,+,+,0.761257797,0.046524637,0.144236323,,+,
JANJIKNC_00852 hypothetical protein,21.51485,22.1438,21.7613,19.49752,20.84421,19.76374,19.27742,18.95003,18.78318,19.17659,19.43358,19.64246,19.10275,20.85498,19.06187,0.057582669,0.022789994,0.006775885,0.013709157,0.013512501,21.80665,20.03515667,19.00354333,19.41754333,19.6732,0.25876243,0.582319354,0.205290123,0.19052838,0.83581129,-1.771493333,-2.803106667,-2.389106667,-2.13345,-1.031613333,-0.617613333,-0.361956667,0.017080858,0.000276287,0.000462658,0.026093274,+,+,+,+,0.077423438,0.22713138,0.641716449,,,
JANJIKNC_00917 hypothetical protein,21.99955,21.81445,22.16251,20.18822,19.73702,20.25707,19.95631,20.02608,19.44334,20.93474,21.48237,21.47704,21.0474,21.31932,20.81222,0.065484554,0.023198216,0.011838732,0.050477714,0.035326268,21.99217,20.06077,19.80857667,21.29805,21.05964667,0.142190692,0.230644933,0.259827289,0.25690818,0.207203745,-1.9314,-2.183593333,-0.69412,-0.932523333,-0.252193333,1.23728,0.998876667,0.000544764,0.000478088,0.028753501,0.006306368,+,+,+,+,0.362651457,0.00713981,0.01036922,,+,+
JANJIKNC_00937 HTH-type transcriptional repressor NsrR,18.06692,17.84804,20.05534,19.37833,20.9656,19.88579,20.64526,20.1801,20.73793,20.00988,18.89132,20.14011,19.45635,20.08925,19.95844,0.006487575,0.023453727,0.019399703,0.01644938,0.015112839,18.65676667,20.07657333,20.52109667,19.68043667,19.83468,0.992969499,0.66189386,0.244070997,0.560516903,0.272797856,1.419806667,1.86433,1.02367,1.177913333,0.444523333,-0.396136667,-0.241893333,0.167746776,0.061426032,0.273056347,0.181041092,,,,,0.423222277,0.553527316,0.65770482,,,
JANJIKNC_00938 Flavohemoprotein,18.54075,18.64333,18.76055,19.26556,20.11401,19.29523,23.32992,23.23996,23.66047,19.45543,19.06069,19.86159,18.53055,19.08287,18.23952,0.006449211,0.016375178,0.143706618,0.014111127,0.006501035,18.64821,19.55826667,23.41011667,19.45923667,18.61764667,0.089799298,0.393156514,0.180796007,0.326977135,0.34976104,0.910056667,4.761906667,0.811026667,-0.030563333,3.85185,-0.09903,-0.94062,0.03317327,4.82E-06,0.027720327,0.91049438,+,+,+,,0.000229217,0.797739292,0.064807677,+,,
JANJIKNC_00943 (R)-specific enoyl-CoA hydratase,18.32247,19.42612,18.75372,19.79346,19.86278,19.48697,22.05159,22.39833,23.15977,19.10978,18.98914,19.61889,21.91474,22.98574,22.31252,0.007336114,0.018246847,0.078435201,0.012115606,0.089719901,18.83410333,19.71440333,22.53656333,19.23927,22.40433333,0.454134298,0.163290654,0.462851358,0.272912698,0.442027538,0.8803,3.70246,0.405166667,3.57023,2.82216,-0.475133333,2.68993,0.061350674,0.001277762,0.34033379,0.001344808,,+,,+,0.001244105,0.102167737,0.001278992,+,,+
JANJIKNC_00944 hypothetical protein,19.14009,17.54747,17.67612,20.01896,20.10088,19.00895,20.53355,20.49921,19.10224,19.4381,19.18477,19.56175,19.50635,19.87161,19.2697,0.004475781,0.018186155,0.013946837,0.01349542,0.012399781,18.12122667,19.70959667,20.045,19.39487333,19.54922,0.722357056,0.49655952,0.666779385,0.15690738,0.247591451,1.58837,1.923773333,1.273646667,1.427993333,0.335403333,-0.314723333,-0.160376667,0.062465756,0.050458747,0.071462857,0.057300777,,,,,0.59882892,0.440894417,0.703652176,,,
JANJIKNC_00946 Protein translocase subunit SecE,18.69059,17.99162,18.54915,18.25397,19.76506,18.72622,19.5921,19.15232,18.10021,19.67585,19.41102,19.81639,18.73925,19.76962,20.77558,0.005469337,0.010485003,0.006520922,0.015932985,0.014365199,18.41045333,18.91508333,18.94821,19.63442,19.76148333,0.301736463,0.631189494,0.625928437,0.168064557,0.831348151,0.50463,0.537756667,1.223966667,1.35103,0.033126667,0.719336667,0.8464,0.365364606,0.335232775,0.00742896,0.09685044,,,+,,0.960496281,0.194358931,0.315416966,,,
JANJIKNC_00947 Transcription termination/antitermination protein NusG,19.31388,18.86592,20.48237,20.40822,19.75341,19.32025,21.10053,21.64601,21.13671,19.85045,19.37731,20.00476,20.62854,18.89142,20.44405,0.012083524,0.019732,0.033157945,0.017192387,0.016807417,19.55405667,19.82729333,21.29441667,19.74417333,19.98800333,0.681415817,0.447223837,0.249052407,0.26695121,0.779050873,0.273236667,1.74036,0.190116667,0.433946667,1.467123333,-0.08312,0.16071,0.660156178,0.027467559,0.731945772,0.585123867,,+,,,0.015434599,0.832502885,0.812730325,+,,
JANJIKNC_00948 50S ribosomal protein L11,22.54357,22.62272,22.93,22.59789,20.48005,22.40049,23.19894,23.1574,23.51111,22.27904,21.88051,22.5368,22.16653,21.0596,22.28788,0.106867257,0.078865111,0.13214848,0.096445454,0.060590769,22.69876333,21.82614333,23.28915,22.23211667,21.83800333,0.166671289,0.955237191,0.157862966,0.269975913,0.552639284,-0.87262,0.590386667,-0.466646667,-0.86076,1.463006667,0.405973333,0.01186,0.272077442,0.022022554,0.106024236,0.10262023,,+,,,0.099425357,0.59400961,0.988601799,,,
JANJIKNC_00949 50S ribosomal protein L1,24.04335,23.8892,23.99783,22.92628,22.43206,21.79903,23.77223,23.87117,24.46837,23.54144,23.7452,23.64009,23.53908,23.79313,23.07171,0.259161226,0.116239934,0.221954891,0.256313916,0.187532408,23.97679333,22.38579,24.03725667,23.64224333,23.46797333,0.06466561,0.461359459,0.307507518,0.083198606,0.298779543,-1.591003333,0.060463333,-0.33455,-0.50882,1.651466667,1.256453333,1.082183333,0.008462998,0.799000929,0.010906087,0.07818187,+,,+,,0.013560672,0.019264031,0.049597135,+,+,+
JANJIKNC_00952 S-adenosylmethionine-dependent methyltransferase UmaA,21.32652,21.14158,22.19346,20.94492,20.57733,21.36517,20.84644,21.51778,20.83854,19.31037,19.67787,19.8549,19.56842,18.4891,20.23316,0.048327286,0.043340543,0.02833381,0.015713195,0.01141809,21.55385333,20.96247333,21.06758667,19.61438,19.43022667,0.458528965,0.321873739,0.318351096,0.226791336,0.71868369,-0.59138,-0.486266667,-1.939473333,-2.123626667,0.105113333,-1.348093333,-1.532246667,0.209761892,0.285436083,0.005839259,0.024386368,,,+,+,0.759110496,0.008388417,0.051281902,,+,
JANJIKNC_00955 putative protein,21.786,22.0431,21.79241,21.13352,21.34596,20.81589,21.15345,20.91882,21.02324,19.49804,21.09436,21.11858,21.75674,21.73859,21.77177,0.060327731,0.047624388,0.027640325,0.030481275,0.057230916,21.87383667,21.09845667,21.03183667,20.57032667,21.7557,0.119715855,0.217815869,0.095979985,0.758285643,0.013565626,-0.77538,-0.842,-1.30351,-0.118136667,-0.06662,-0.52813,0.657243333,0.011583933,0.001485924,0.074249773,0.2378148,+,+,,,0.712442754,0.397403422,0.013063661,,,+
JANJIKNC_00968 50S ribosomal protein L10,24.8386,24.64845,24.87938,25.5578,25.50897,25.19269,25.93668,25.76752,26.104,25.13108,25.05051,25.28397,25.24985,25.16069,25.38522,0.455000003,0.952114965,0.827681952,0.731498619,0.651795744,24.78881,25.41982,25.93606667,25.15518667,25.26525333,0.100636141,0.161837614,0.137368069,0.096821972,0.092308819,0.63101,1.147256667,0.366376667,0.476443333,0.516246667,-0.264633333,-0.154566667,0.009429691,0.000677539,0.020649734,0.00785007,+,+,+,+,0.026310619,0.118196844,0.305792203,+,,
JANJIKNC_00969 50S ribosomal protein L7/L12,22.02861,22.08291,22.1195,22.10021,22.3268,21.22894,23.45136,23.23825,23.93265,21.86053,21.86782,22.05092,21.7162,21.72205,21.89049,0.0694508,0.082167083,0.15732666,0.078029513,0.058051822,22.07700667,21.88531667,23.54075333,21.92642333,21.77624667,0.037339747,0.473257156,0.290449326,0.08808273,0.080817531,-0.19169,1.463746667,-0.150583333,-0.30076,1.655436667,0.041106667,-0.10907,0.598522131,0.00211309,0.090015499,0.008790571,,+,,+,0.013519122,0.909701597,0.76408633,+,,
JANJIKNC_00970 putative ribonucleotide transport ATP-binding protein mkl,23.20529,23.42381,23.20626,24.21356,24.42156,24.85614,23.88967,24.38851,22.68974,23.06304,23.05265,23.65545,23.58233,23.58015,23.47073,0.159716115,0.502248883,0.170406831,0.196253059,0.197735229,23.27845333,24.49708667,23.65597333,23.25704667,23.54440333,0.102783448,0.26771312,0.71293547,0.28174563,0.052102515,1.218633333,0.37752,-0.021406667,0.26595,-0.841113333,-1.24004,-0.952683333,0.003859368,0.499724456,0.924453166,0.030968073,+,,,+,0.193322625,0.010721954,0.007817164,,+,+
JANJIKNC_00971 DNA-directed RNA polymerase subunit beta,22.75144,23.905,22.91727,24.01572,24.27682,24.79694,23.98598,24.59997,23.42214,22.98458,19.1824,22.34085,23.06001,23.40158,23.02132,0.150346702,0.457723317,0.216701103,0.058167229,0.151586009,23.19123667,24.36316,24.00269667,21.50261,23.16097,0.509227172,0.324722568,0.480992351,1.661551065,0.170868581,1.171923333,0.81146,-1.688626667,-0.030266667,-0.360463333,-2.86055,-1.20219,0.051682839,0.176704884,0.241358435,0.940311916,,,,,0.429326596,0.075206581,0.009782253,,,+
JANJIKNC_00972 DNA-directed RNA polymerase subunit beta,23.05527,24.49118,23.34286,23.77836,23.0861,24.60823,24.70393,24.83755,23.40171,22.3189,21.9687,22.6313,23.36011,23.57439,23.19678,0.203753742,0.315042352,0.268962772,0.101534391,0.176083525,23.62977,23.82423,24.31439667,22.3063,23.37709333,0.620321096,0.622252884,0.647668274,0.270652003,0.154625684,0.19446,0.684626667,-1.32347,-0.252676667,0.490166667,-1.51793,-0.447136667,0.76992471,0.341066982,0.050564073,0.606007746,,,,,0.483293148,0.034067754,0.3798543,,+,
JANJIKNC_00984 30S ribosomal protein S12,24.02259,24.53226,24.42662,23.27341,23.21236,23.31424,24.29537,24.8753,25.39051,24.6314,24.90894,25.04093,25.16423,25.24706,25.10482,0.330399894,0.214055631,0.390882907,0.596322101,0.61101308,24.32715667,23.26667,24.85372667,24.86042333,25.17203667,0.219636963,0.041864498,0.447349201,0.170673383,0.058331023,-1.060486667,0.52657,0.533266667,0.84488,1.587056667,1.593753333,1.905366667,0.00257116,0.209413295,0.053466696,0.006263827,+,,,+,0.007515041,0.00021302,3.01E-06,+,+,+
JANJIKNC_00985 30S ribosomal protein S7,24.95598,24.89938,25.02526,25.14145,24.84417,24.98611,26.16919,26.17037,26.36786,25.14098,25.34354,25.7572,25.80855,25.52874,25.9018,0.512397424,0.707089312,1.018812386,0.875177192,0.909787701,24.96020667,24.99057667,26.23580667,25.41390667,25.74636333,0.051477128,0.121405142,0.09337705,0.256444111,0.15852198,0.03037,1.2756,0.4537,0.786156667,1.24523,0.42333,0.755786667,0.760975518,7.16E-05,0.070211587,0.002624656,,+,,+,0.000326665,0.102487028,0.005873694,+,,+
JANJIKNC_00986 Elongation factor G,21.53308,22.7298,21.03604,21.86759,20.44543,22.85232,23.9266,24.31029,23.9237,20.42624,19.24732,19.66682,18.6181,19.62359,22.14936,0.05599474,0.073361538,0.224472674,0.017626221,0.018550328,21.76630667,21.72178,24.05353,19.78012667,20.13035,0.710868831,0.988003133,0.181560597,0.48791522,1.485497351,-0.044526667,2.287223333,-1.98618,-1.635956667,2.33175,-1.941653333,-1.59143,0.961220179,0.01161222,0.031145605,0.232754133,,+,+,,0.030424373,0.067343667,0.275675275,+,,
